weight,wingLength,tarsusLength,beakLength,beakDepth,beakWidth
21.19,69.43,20.28,11.11,9.12,9.02
16.84,72.98,19,11.82,10.28,9.17
18.08,66.86,20.41,10.96,8.63,9.45
17.89,72.97,19.24,10.68,9.53,7.86
18.53,67,20.1,10.16,10.6,7.2
18.81,72.41,18.28,11.28,10.31,8.29
20.54,69.82,18.66,11.07,9.32,9.36
17.14,67.78,17.87,11.71,9.8,8.68
18.22,69.32,18.24,10.18,9.9,8.9
18.08,71.57,19.04,10.77,9.34,8.55
19.07,66.52,18.89,10.77,9.18,9.76
16.59,66.59,19.82,10.76,8.13,8.61
17.33,69.39,19.25,11.83,8.17,9.62
16.14,68.32,19.2,12.17,9.66,9.07
15.05,70.64,19.29,9.92,10.52,8.88
17.17,68.02,19.08,11.12,9.92,8.71
15.6,68.33,19.3,11.78,9.24,9.55
15.36,69.48,18.96,11.4,9.87,8.17
16.93,74.07,19.63,11.46,9.3,7.76
15.82,68.22,20.13,11.41,9.58,9.41
16.78,70.21,19.67,10.77,9.79,9.3
17.72,66.55,19.1,10.65,12.46,8.72
19.15,71.82,18.88,10.85,7.96,8.89
18.45,70.59,19.46,12.15,9.66,9.45
17.5,71.32,19.94,11.05,10.13,8.76
15.32,64.16,19.93,11.91,10.1,9.36
16.51,67.86,19.4,11.33,9.48,10.14
18.35,67.38,20.23,11.84,8.94,9.03
17.2,70.5,18.24,11.98,8.75,8.46
16.99,72.53,18.71,11.21,9.28,9.22
14.15,70.33,20.15,10.36,9.52,8.79
19.36,68.97,20.05,10.8,9.25,8.37
14.33,67.9,18.18,11.12,9.78,9.11
15.45,69.46,18.9,10.79,9.68,8.74
18.93,67.99,20.04,11.33,9.12,8.2
18.62,74.23,20.13,10.52,11.14,9.35
18.75,65.73,19.42,10.72,11.23,9.58
18.14,71.21,18.92,11.33,9.12,9.39
16.82,70.49,18.27,11.68,10.04,8.31
16.94,68.74,18.57,10.15,8.69,8.84
15.02,69.13,19.91,10.28,10.41,10.03
14.28,66.78,19.23,10.01,9.34,9.82
16.99,70.7,19.19,10.69,8.41,8.43
16.76,69.48,18.12,11.09,9.83,8.89
19.17,72.23,19.55,10.63,10.07,10.15
18.11,68.42,18.68,11.15,11.6,9.01
15.72,72.08,19.02,12.15,9.49,9.09
19.36,70.34,19.26,10.74,9.92,10.09
13.8,71.39,19.17,12.77,9.84,9.62
16,70.1,19.58,11.57,8.71,9.83
21.63,68.53,18.09,9.36,9.65,8.94
17.22,65.41,19.54,12.13,8.57,8.58
17.45,70.59,19.46,11.84,9.27,8.54
15.33,70.55,18.65,10.9,10.79,9.55
18.92,70.2,19.42,10.19,9.25,8.52
17.22,72.7,19.57,10.43,8.56,8.61
16.99,69.11,20.73,10.39,10.08,8.99
19.51,68.52,19.13,11.1,9.3,8.66
17.65,71.17,18.7,11.75,9.99,9.56
17.85,67.59,20.21,11.01,9.4,9.26
17.08,74.49,19.18,11.22,8.5,7.83
17.48,64.9,18.17,12.31,8.8,9.28
